dates,max_load
2012/1/15,16807.0
2012/1/16,18028.0
2012/1/17,16955.0
2012/1/18,16881.0
2012/1/19,15933.0
2012/1/20,14960.0
2012/1/21,13724.0
2012/1/22,13450.0
2012/1/23,13537.0
2012/1/24,13393.0
2012/1/25,13731.0
2012/1/26,13365.0
2012/1/27,13956.0
2012/1/28,13834.0
2012/1/29,15835.0
2012/1/30,16309.0
2012/1/31,16514.0
2012/2/1,17513.0
2012/2/2,19049.0
2012/2/3,19277.0
2012/2/4,17939.0
2012/2/5,17173.0
2012/2/6,18980.0
2012/2/7,20304.0
2012/2/8,21177.0
2012/2/9,20680.0
2012/2/10,21354.0
2012/2/11,18945.0
2012/2/12,17961.0
2012/2/13,20280.0
2012/2/14,20399.0
2012/2/15,20539.0
2012/2/16,20545.0
2012/2/17,20084.0
2012/2/18,18323.0
2012/2/19,17861.0
2012/2/20,20297.0
2012/2/21,20087.0
2012/2/22,19245.0
2012/2/23,19728.0
2012/2/24,20238.0
2012/2/25,18567.0
2012/2/26,18453.0
2012/2/27,21023.0
2012/2/28,21241.0
2012/2/29,20061.0
2012/3/1,19938.0
2012/3/2,20284.0
2012/3/3,18711.0
2012/3/4,18183.0
2012/3/5,20358.0
2012/3/6,20019.0
2012/3/7,20429.0
2012/3/8,20306.0
2012/3/9,20032.0
2012/3/10,17887.0
2012/3/11,17079.0
2012/3/12,19863.0
2012/3/13,19335.0
2012/3/14,18488.0
2012/3/15,18629.0
2012/3/16,17703.0
2012/3/17,16801.0
2012/3/18,16613.0
2012/3/19,18889.0
2012/3/20,19487.0
2012/3/21,18170.0
2012/3/22,17520.0
2012/3/23,19087.0
2012/3/24,15966.0
2012/3/25,14989.0
2012/3/26,17224.0
2012/3/27,16686.0
2012/3/28,16302.0
2012/3/29,16161.0
2012/3/30,16449.0
2012/3/31,15926.0
2012/4/1,15375.0
2012/4/2,14931.0
2012/4/3,14654.0
2012/4/4,14217.0
2012/4/5,15709.0
2012/4/6,15874.0
2012/4/7,14965.0
2012/4/8,14115.0
2012/4/9,16161.0
2012/4/10,16310.0
2012/4/11,16405.0
2012/4/12,16153.0
2012/4/13,16679.0
2012/4/14,15122.0
2012/4/15,14451.0
2012/4/16,16159.0
2012/4/17,16109.0
2012/4/18,16266.0
2012/4/19,16304.0
2012/4/20,16405.0
2012/4/21,15331.0
2012/4/22,14311.0
2012/4/23,16325.0
2012/4/24,16760.0
2012/4/25,16599.0
2012/4/26,16185.0
2012/4/27,16310.0
2012/4/28,16132.0
2012/4/29,14438.0
2012/4/30,13634.0
2012/5/1,12724.0
2012/5/2,15597.0
2012/5/3,16243.0
2012/5/4,16477.0
2012/5/5,15510.0
2012/5/6,14800.0
2012/5/7,17825.0
2012/5/8,16853.0
2012/5/9,16665.0
2012/5/10,16626.0
2012/5/11,16542.0
2012/5/12,15238.0
2012/5/13,14358.0
2012/5/14,16545.0
2012/5/15,16360.0
2012/5/16,17061.0
2012/5/17,17385.0
2012/5/18,17394.0
2012/5/19,15303.0
2012/5/20,14388.0
2012/5/21,16437.0
2012/5/22,16426.0
2012/5/23,16568.0
2012/5/24,16696.0
2012/5/25,16426.0
2012/5/26,15201.0
2012/5/27,14218.0
2012/5/28,16659.0
2012/5/29,16928.0
2012/5/30,16142.0
2012/5/31,16203.0
2012/6/1,16209.0
2012/6/2,15117.0
2012/6/3,13973.0
2012/6/4,16696.0
2012/6/5,17126.0
2012/6/6,16998.0
2012/6/7,17682.0
2012/6/8,19137.0
2012/6/9,16781.0
2012/6/10,15382.0
2012/6/11,19363.0
2012/6/12,19348.0
2012/6/13,19365.0
2012/6/14,19136.0
2012/6/15,18907.0
2012/6/16,17414.0
2012/6/17,16437.0
2012/6/18,17648.0
2012/6/19,17578.0
2012/6/20,17634.0
2012/6/21,17900.0
2012/6/22,16145.0
2012/6/23,14561.0
2012/6/24,13850.0
2012/6/25,19027.0
2012/6/26,18521.0
2012/6/27,18526.0
2012/6/28,18475.0
2012/6/29,19812.0
2012/6/30,18638.0
2012/7/1,18146.0
2012/7/2,24095.0
2012/7/3,24044.0
2012/7/4,24457.0
2012/7/5,25049.0
2012/7/6,25739.0
2012/7/7,22706.0
2012/7/8,20836.0
2012/7/9,24399.0
2012/7/10,25284.0
2012/7/11,24234.0
2012/7/12,24865.0
2012/7/13,24646.0
2012/7/14,20281.0
2012/7/15,19066.0
2012/7/16,20657.0
2012/7/17,21228.0
2012/7/18,20599.0
2012/7/19,22319.0
2012/7/20,23904.0
2012/7/21,22409.0
2012/7/22,21507.0
2012/7/23,24481.0
2012/7/24,24415.0
2012/7/25,24203.0
2012/7/26,24022.0
2012/7/27,24740.0
2012/7/28,22682.0
2012/7/29,21291.0
2012/7/30,24760.0
2012/7/31,24471.0
2012/8/1,23738.0
2012/8/2,22589.0
2012/8/3,22301.0
2012/8/4,21872.0
2012/8/5,19952.0
2012/8/6,23618.0
2012/8/7,22618.0
2012/8/8,20524.0
2012/8/9,20140.0
2012/8/10,23248.0
2012/8/11,21381.0
2012/8/12,20880.0
2012/8/13,24834.0
2012/8/14,25701.0
2012/8/15,25756.0
2012/8/16,25074.0
2012/8/17,25278.0
2012/8/18,23212.0
2012/8/19,21942.0
2012/8/20,24413.0
2012/8/21,24261.0
2012/8/22,21938.0
2012/8/23,21503.0
2012/8/24,20521.0
2012/8/25,20549.0
2012/8/26,18231.0
2012/8/27,21100.0
2012/8/28,22677.0
2012/8/29,22294.0
2012/8/30,22164.0
2012/8/31,22014.0
2012/9/1,20348.0
2012/9/2,19530.0
2012/9/3,21353.0
2012/9/4,19862.0
2012/9/5,18784.0
2012/9/6,19420.0
2012/9/7,20512.0
2012/9/8,18131.0
2012/9/9,17250.0
2012/9/10,18490.0
2012/9/11,18989.0
2012/9/12,20041.0
2012/9/13,18326.0
2012/9/14,17625.0
2012/9/15,16507.0
2012/9/16,15268.0
2012/9/17,16854.0
2012/9/18,17238.0
2012/9/19,17452.0
2012/9/20,18006.0
2012/9/21,17967.0
2012/9/22,16027.0
2012/9/23,14911.0
2012/9/24,17570.0
2012/9/25,17726.0
2012/9/26,17913.0
2012/9/27,17953.0
2012/9/28,17578.0
2012/9/29,16019.0
2012/9/30,12553.0
2012/10/1,11760.0
2012/10/2,11972.0
2012/10/3,12253.0
2012/10/4,13509.0
2012/10/5,13849.0
2012/10/6,14545.0
2012/10/7,14854.0
2012/10/8,16378.0
2012/10/9,16661.0
2012/10/10,16638.0
2012/10/11,16279.0
2012/10/12,16404.0
2012/10/13,15209.0
2012/10/14,14454.0
2012/10/15,16491.0
2012/10/16,16588.0
2012/10/17,15973.0
2012/10/18,15872.0
2012/10/19,16014.0
2012/10/20,14717.0
2012/10/21,14261.0
2012/10/22,16367.0
2012/10/23,15870.0
2012/10/24,16031.0
2012/10/25,16214.0
2012/10/26,16341.0
2012/10/27,15101.0
2012/10/28,14214.0
2012/10/29,15998.0
2012/10/30,16330.0
2012/10/31,15834.0
2012/11/1,15725.0
2012/11/2,15992.0
2012/11/3,14808.0
2012/11/4,14310.0
2012/11/5,16039.0
2012/11/6,16131.0
2012/11/7,16142.0
2012/11/8,16312.0
2012/11/9,16565.0
2012/11/10,15211.0
2012/11/11,14501.0
2012/11/12,16368.0
2012/11/13,16431.0
2012/11/14,16480.0
2012/11/15,16543.0
2012/11/16,16906.0
2012/11/17,15559.0
2012/11/18,14604.0
2012/11/19,16620.0
2012/11/20,16731.0
2012/11/21,17148.0
2012/11/22,16940.0
2012/11/23,17499.0
2012/11/24,15952.0
2012/11/25,14906.0
2012/11/26,18104.0
2012/11/27,17823.0
2012/11/28,17518.0
2012/11/29,17526.0
2012/11/30,17906.0
2012/12/1,16131.0
2012/12/2,15578.0
2012/12/3,18005.0
2012/12/4,18630.0
2012/12/5,18407.0
2012/12/6,18893.0
2012/12/7,18438.0
2012/12/8,17105.0
2012/12/9,17295.0
2012/12/10,19860.0
2012/12/11,19449.0
2012/12/12,19462.0
2012/12/13,19522.0
2012/12/14,18649.0
2012/12/15,16803.0
2012/12/16,16425.0
2012/12/17,19329.0
