,subTypeName,dealnum,close,open,low,average,dealamount,indate,high,deal
130,SZ2013,0,46.05,46.05,46.05,0,0,2016/7/4,46.05,46.05
131,SZ2014,0,47.92,47.92,47.92,0,0,2016/7/4,47.92,47.92
132,SZ2015,0,40.59,40.59,40.59,0,0,2016/7/4,40.59,40.59
133,湖北,90148,16.6,16.6,16.55,0,1496460,2016/7/4,16.7,16.6
134,重庆,0,10,10,10,0,0,2016/7/4,10,10
135,北京,101,44.87,44.87,44.87,0,4531.6,2016/7/1,44.87,44.87
136,上海,0,9.8,9,8.6,0,0,2016/7/1,9.8,8.79
137,广东,1,8.1,8.76,8.1,0,8.1,2016/7/1,8.1,8.1
138,天津,0,7,7,7,0,0,2016/7/1,7,7
139,SZ2014,0,47.92,47.92,47.92,0,0,2016/7/1,47.92,47.92
140,SZ2015,2489,40.59,40.59,40.59,0,101029,2016/7/1,40.59,40.59
141,SZ2013,0,46.05,46.05,46.05,0,0,2016/7/1,46.05,46.05
142,湖北,16153,16.81,16.7,16.7,0,270699,2016/7/1,16.89,16.76
143,重庆,0,10,10,10,0,0,2016/7/1,10,10
144,北京,2077,39.45,39.45,39.45,0,81932.4,2016/6/30,39.45,39.45
145,上海,0,9.8,9,8.6,0,0,2016/6/30,9.8,8.79
146,广东,38418,8.76,9.1,8.3,0,336587,2016/6/30,9.45,8.76
147,天津,191872,7,7,7,0,1343100,2016/6/30,7,7
148,SZ2015,12002,45.1,45.1,45.1,0,344490,2016/6/30,45.1,45.1
149,SZ2013,0,46.05,46.05,46.05,0,0,2016/6/30,46.05,46.05
150,SZ2014,0,47.92,47.92,47.92,0,0,2016/6/30,47.92,47.92
151,湖北,3124,16.7,16.65,16.5,0,51621.2,2016/6/30,16.7,16.52
152,重庆,0,10,10,10,0,0,2016/6/30,10,10
153,北京,32282,47.53,47.53,47.53,0,1534470,2016/6/29,47.53,47.53
154,上海,326095,9.8,9,8.6,0,460486,2016/6/29,9.8,8.79
155,广东,802,9.1,8.6,7.76,0,7296.16,2016/6/29,9.1,9.1
156,天津,100,14,14,14,0,1400,2016/6/29,14,14
157,SZ2015,30827,41,36,36.22,0,975243,2016/6/29,40,36.22
158,SZ2014,1,47.92,47.92,47.92,0,47.92,2016/6/29,47.92,47.92
159,SZ2013,1501,46.05,36.67,37.68,0,56551.1,2016/6/29,46.05,37.68
160,湖北,5684,16.61,16.7,16.61,0,95128.5,2016/6/29,16.8,16.74
