A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/10/2016 2:00,2016,1,10,2,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 3:00,2016,1,10,3,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 4:00,2016,1,10,4,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 5:00,2016,1,10,5,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 6:00,2016,1,10,6,72,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 7:00,2016,1,10,7,64,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 8:00,2016,1,10,8,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 9:00,2016,1,10,9,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 10:00,2016,1,10,10,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 11:00,2016,1,10,11,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 12:00,2016,1,10,12,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 13:00,2016,1,10,13,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 14:00,2016,1,10,14,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 15:00,2016,1,10,15,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 16:00,2016,1,10,16,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 17:00,2016,1,10,17,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 18:00,2016,1,10,18,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 19:00,2016,1,10,19,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 20:00,2016,1,10,20,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 21:00,2016,1,10,21,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 22:00,2016,1,10,22,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/10/2016 23:00,2016,1,10,23,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 0:00,2016,1,11,0,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 1:00,2016,1,11,1,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 2:00,2016,1,11,2,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 3:00,2016,1,11,3,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 4:00,2016,1,11,4,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 5:00,2016,1,11,5,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 6:00,2016,1,11,6,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 7:00,2016,1,11,7,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 8:00,2016,1,11,8,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 9:00,2016,1,11,9,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 10:00,2016,1,11,10,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 11:00,2016,1,11,11,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 12:00,2016,1,11,12,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 13:00,2016,1,11,13,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 14:00,2016,1,11,14,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 15:00,2016,1,11,15,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 16:00,2016,1,11,16,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2016 17:00,2016,1,11,17,41,µg/m³,1 Hr,Valid
